FID,OBJECTID,community,area_numbe,HS_Grad,BD,Unemployed,Diabetes_r,Lung_Cance,Childhood1,Childhood_,Obesity,Firearm_re,Inequ_inco,Inactivity,EBLL,Shape_Leng,Shape_Le_1,Shape_Area,Shape__Are,Shape__Len,Year_count
48,48,SOUTH DEERING,51,0.788000000000000,0.108000000000000,0.253000000000000,80.599999999999900,59.200000000000000,0.300000000000000,427.100000000000000,0.398000000000000,35.100000000000000,57.299999999999900,0.357000000000000,0.003000000000000,24493.142505799900000,0,28201380.171700000000000,50653179.996093800000000,32788.114904197600000,2176
49,49,EAST SIDE,52,0.702000000000000,0.123000000000000,0.170000000000000,73.900000000000000,45.899999999999900,0.900000000000000,398.500000000000000,0.315000000000000,10.100000000000000,60.399999999999900,0.311000000000000,0.004000000000000,15926.750468399900000,0,7727178.703390000000000,13878383.007812500000000,21204.804202884300000,1960
50,50,WEST PULLMAN,53,0.824000000000000,0.144000000000000,0.262000000000000,83.400000000000000,78.599999999999900,1.100000000000000,397.199999999999000,0.425000000000000,46.500000000000000,58.399999999999900,35.490000000000000,0.012000000000000,15241.475778399900000,0,9224313.721470000000000,16553981.499999900000000,20374.540007002600000,5638
51,51,RIVERDALE,54,0.745000000000000,0.050000000000000,0.408000000000000,115.900000000000000,86.099999999999900,0.000000000000000,0.000000000000000,0.484000000000000,32.799999999999900,26.500000000000000,0.441000000000000,0.000000000000000,14154.130684299900000,0,9133600.263529990000000,16372549.003906300000000,18960.110773912000000,2088
52,52,HEGEWISCH,55,0.874000000000000,0.193000000000000,0.091000000000000,80.000000000000000,57.899999999999900,1.100000000000000,298.800000000000000,0.298000000000000,13.400000000000000,64.799999999999900,0.280000000000000,0.009000000000000,22452.454725399900000,0,13549805.897299900000000,24315403.492187500000000,30030.610206122600000,850
53,53,GARFIELD RIDGE,56,0.812000000000000,0.212000000000000,0.114000000000000,80.299999999999900,59.200000000000000,0.100000000000000,354.899999999999000,0.273000000000000,9.199999999999990,65.299999999999900,0.248000000000000,0.002000000000000,18306.089481399900000,0,10944726.480300000000000,19703250.996093700000000,24546.982199884700000,3493
54,54,ARCHER HEIGHTS,57,0.681000000000000,0.112000000000000,0.119000000000000,67.700000000000000,49.600000000000000,0.500000000000000,543.500000000000000,0.305000000000000,15.400000000000000,60.600000000000000,0.300000000000000,0.001000000000000,9713.537531059990000,0,5191636.034740000000000,9371546.496093750000000,13035.985761115200000,1345
55,55,BRIGHTON PARK,58,0.557000000000000,0.087000000000000,0.132000000000000,69.700000000000000,27.699999999999900,0.900000000000000,580.399999999999000,0.341000000000000,10.600000000000000,56.299999999999900,0.367000000000000,0.008000000000000,11132.444221899900000,0,7045514.692649990000000,12700059.996093800000000,14941.421540578400000,3587
56,56,MCKINLEY PARK,59,0.686000000000000,0.195000000000000,0.138000000000000,61.399999999999900,38.299999999999900,0.800000000000000,529.600000000000000,0.294000000000000,6.500000000000000,59.500000000000000,0.325000000000000,0.013000000000000,7926.149019180000000,0,3660611.318580000000000,6593361.996093750000000,10628.725060679100000,1825
57,57,LAKE VIEW,6,0.976000000000000,0.785000000000000,0.037000000000000,38.500000000000000,32.500000000000000,0.400000000000000,179.199999999999000,0.196000000000000,1.800000000000000,64.500000000000000,0.125000000000000,0.002000000000000,15835.439323900000000,0,8096437.499660000000000,14667461.488281300000000,21155.345925370900000,7206
58,58,BRIDGEPORT,60,0.790000000000000,0.247000000000000,0.112000000000000,49.799999999999900,54.399999999999900,0.700000000000000,384.899999999999000,0.232000000000000,4.500000000000000,63.100000000000000,0.289000000000000,0.001000000000000,9973.168900759990000,0,5411376.262889990000000,9768782.007812500000000,13367.099663364700000,2722
59,59,NEW CITY,61,0.669000000000000,0.077000000000000,0.220000000000000,83.700000000000000,69.400000000000000,0.800000000000000,555.000000000000000,0.387000000000000,24.600000000000000,53.600000000000000,0.385000000000000,0.011000000000000,14665.623780500000000,0,12498811.102800000000000,22496619.000000000000000,19665.620989880200000,8107
60,60,WEST ELSDON,62,0.706000000000000,0.089000000000000,0.148000000000000,68.500000000000000,57.799999999999900,0.200000000000000,492.600000000000000,0.311000000000000,7.700000000000000,58.899999999999900,0.309000000000000,0.002000000000000,7991.932503259990000,0,3036772.327829990000000,5466141.503906250000000,10723.055803114300000,1220
61,61,GAGE PARK,63,0.555000000000000,0.058000000000000,0.159000000000000,65.000000000000000,34.100000000000000,0.800000000000000,590.299999999999000,0.362000000000000,11.100000000000000,56.200000000000000,0.373000000000000,0.005000000000000,9839.665531610000000,0,5689383.197589990000000,10266693.000000000000000,13191.696918110800000,3611
62,62,CLEARING,64,0.839000000000000,0.171000000000000,0.102000000000000,72.000000000000000,58.600000000000000,0.300000000000000,302.000000000000000,0.274000000000000,12.699999999999900,61.799999999999900,0.247000000000000,0.006000000000000,13821.888091200000000,0,6604979.639870000000000,11870384.007812500000000,18517.342318687500000,1553
63,63,WEST LAWN,65,0.674000000000000,0.111000000000000,0.135000000000000,61.500000000000000,36.700000000000000,0.200000000000000,508.300000000000000,0.318000000000000,8.800000000000000,58.399999999999900,0.308000000000000,0.004000000000000,12777.038875199900000,0,7641846.624110000000000,13771217.492187500000000,17135.019825953000000,3230
64,64,CHICAGO LAWN,66,0.692000000000000,0.086000000000000,0.219000000000000,73.000000000000000,42.899999999999900,1.200000000000000,524.600000000000000,0.390000000000000,19.399999999999900,55.700000000000000,0.354000000000000,0.009000000000000,12209.804829999900000,0,9123770.849220000000000,16406410.500000000000000,16351.788456175200000,8525
65,65,WEST ENGLEWOOD,67,0.762000000000000,0.078000000000000,0.348000000000000,88.200000000000000,66.299999999999900,2.600000000000000,450.600000000000000,0.444000000000000,39.299999999999900,51.700000000000000,0.393000000000000,0.011000000000000,12246.928195700000000,0,8164513.351019990000000,14706157.996093800000000,16434.299241855300000,10294
66,66,ENGLEWOOD,68,0.743000000000000,0.062000000000000,0.360000000000000,101.799999999999000,76.799999999999900,2.800000000000000,401.000000000000000,0.458000000000000,44.899999999999900,43.000000000000000,0.415000000000000,0.014000000000000,12893.291235299900000,0,7951338.819000000000000,14321431.988281300000000,17300.740145157400000,10220
67,67,GREATER GRAND CROSSING,69,0.851000000000000,0.154000000000000,0.249000000000000,92.299999999999900,77.500000000000000,1.900000000000000,453.699999999999000,0.422000000000000,44.600000000000000,52.399999999999900,35.119999999999900,0.011000000000000,16649.491746399900000,0,9176699.438650000000000,16538245.003906300000000,22330.642702008600000,8991
68,68,LINCOLN PARK,7,0.972000000000000,0.828000000000000,0.042000000000000,50.100000000000000,40.000000000000000,0.600000000000000,173.300000000000000,0.193000000000000,2.300000000000000,63.000000000000000,0.125000000000000,0.001000000000000,15075.335863800000000,0,8198678.660120000000000,14862787.992187500000000,20112.738799929400000,6743
69,69,ASHBURN,70,0.829000000000000,0.200000000000000,0.136000000000000,80.099999999999900,62.799999999999900,0.200000000000000,368.300000000000000,0.327000000000000,11.600000000000000,63.700000000000000,0.262000000000000,0.005000000000000,16702.499878899900000,0,12575528.458499900000000,22635079.507812500000000,22349.860250159100000,3083
70,70,AUBURN GRESHAM,71,0.825000000000000,0.139000000000000,0.259000000000000,83.599999999999900,65.099999999999900,1.500000000000000,393.800000000000000,0.417000000000000,32.600000000000000,54.700000000000000,0.348000000000000,0.014000000000000,14246.399521200000000,0,9753564.390469990000000,17539334.503906200000000,19053.099695451000000,9500
71,71,BEVERLY,72,0.966000000000000,0.555000000000000,0.072000000000000,59.600000000000000,47.899999999999900,1.300000000000000,179.099999999999000,0.262000000000000,3.500000000000000,61.600000000000000,0.170000000000000,0.006000000000000,13586.445524200000000,0,8241752.419200000000000,14818257.996093700000000,18215.393119675700000,1497
72,72,WASHINGTON HEIGHTS,73,0.893000000000000,0.209000000000000,0.197000000000000,79.500000000000000,70.000000000000000,1.500000000000000,371.399999999999000,0.385000000000000,35.600000000000000,60.899999999999900,30.090000000000000,0.007000000000000,12864.596391900000000,0,7392825.464329990000000,13285351.492187500000000,17239.143610831800000,3788
73,73,MOUNT GREENWOOD,74,0.951000000000000,0.355000000000000,0.071000000000000,66.500000000000000,55.000000000000000,0.000000000000000,133.599999999999000,0.236000000000000,7.400000000000000,62.299999999999900,0.181000000000000,0.000000000000000,14827.761412800000000,0,7016921.137299990000000,12585196.011718800000000,19846.730367441500000,901
74,74,MORGAN PARK,75,0.909000000000000,0.321000000000000,0.123000000000000,75.400000000000000,50.000000000000000,1.300000000000000,298.800000000000000,0.337000000000000,15.800000000000000,64.799999999999900,0.262000000000000,0.006000000000000,14136.362390900000000,0,8529326.802470000000000,15287014.503906300000000,18923.470266328400000,2692
75,75,OHARE,76,0.862000000000000,0.322000000000000,0.087000000000000,47.299999999999900,37.399999999999900,0.500000000000000,182.900000000000000,0.267000000000000,11.800000000000000,61.000000000000000,0.241000000000000,0.000000000000000,52904.063482400000000,0,34522423.583800000000000,62560209.996093800000000,71098.816464168200000,2311
76,76,EDGEWATER,77,0.914000000000000,0.547000000000000,0.082000000000000,48.799999999999900,40.100000000000000,0.900000000000000,308.600000000000000,0.250000000000000,3.900000000000000,63.299999999999900,0.204000000000000,0.006000000000000,9446.738137410000000,0,4497787.526750000000000,8145681.980468750000000,12612.870507964900000,4409
77,77,EDISON PARK,9,0.948000000000000,0.463000000000000,0.050000000000000,53.000000000000000,45.200000000000000,0.000000000000000,134.699999999999000,0.227000000000000,7.100000000000000,62.200000000000000,0.181000000000000,0.008000000000000,7902.979680069990000,0,2937112.005049990000000,5329837.003906250000000,10649.763323072500000,402
